datetime,open,high,low,close,volume
2018-11-03,6346.2,6347.6,6300.6,6331.4,677.02679875
2018-11-04,6332.3,6471.6,6316.3,6419.9,1732.14003051
2018-11-05,6419.9,6443.3,6370.2,6405.9,1226.72724427
2018-11-06,6406.0,6455.2,6390.2,6451.3,2036.06662216
2018-11-07,6450.4,6552.9,6448.6,6503.3,2615.1791484
2018-11-08,6503.2,6515.7,6380.6,6408.8,2198.77316607
2018-11-09,6408.9,6419.7,6310.0,6335.4,2168.71771564
2018-11-10,6334.7,6375.0,6331.6,6349.0,693.74853567
2018-11-11,6348.9,6364.5,6275.1,6358.2,751.53267455
2018-11-12,6357.4,6385.0,6290.8,6327.3,2204.33171317
2018-11-13,6327.3,6329.1,6250.0,6260.0,2499.10500248
2018-11-14,6258.8,6300.0,5330.0,5602.4,15483.50008016
2018-11-15,5600.9,5647.8,5206.1,5570.6,10613.06900393
2018-11-16,5574.5,5610.0,5413.0,5514.4,4328.19712654
2018-11-17,5516.9,5549.5,5457.2,5499.3,2177.55279499
2018-11-18,5499.4,5698.0,5499.4,5560.9,1962.85825476
2018-11-19,5561.0,5563.5,4700.0,4741.2,16484.32689281
2018-11-20,4740.8,4891.9,4028.8,4361.4,23953.95645401
2018-11-21,4361.4,4635.7,4240.9,4548.2,10940.3788474
2018-11-22,4543.3,4589.9,4070.0,4262.6,6401.04927387
2018-11-23,4269.4,4364.8,4089.4,4286.4,9192.64273318
2018-11-24,4287.6,4373.2,3685.0,3780.0,10646.03755939
2018-11-25,3775.0,4126.9,3456.0,3932.9,19403.61083344
2018-11-26,3932.2,4067.8,3516.1,3731.3,18140.95037245
2018-11-27,3727.5,3829.0,3561.6,3770.7,11480.19039384
2018-11-28,3770.9,4397.6,3770.8,4219.8,15953.16141311
2018-11-29,4219.8,4441.0,4066.0,4241.9,10981.26139802
2018-11-30,4242.0,4300.0,3856.9,3969.4,14303.38498984
2018-12-01,3969.4,4286.6,3905.7,4138.4,7076.9903049
2018-12-02,4138.1,4262.9,4025.1,4101.9,5823.14741218
2018-12-03,4101.9,4117.0,3732.6,3832.7,10635.20408421
2018-12-04,3832.3,4059.3,3728.7,3904.7,9138.82967793
2018-12-05,3904.7,3916.3,3653.0,3694.3,8625.47004998
2018-12-06,3697.1,3851.1,3412.0,3435.5,18324.67095411
2018-12-07,3432.6,3600.0,3208.0,3379.3,20919.53085345
2018-12-08,3379.0,3498.9,3251.3,3396.9,9101.82861426
2018-12-09,3395.0,3636.0,3359.9,3539.5,8402.80944637
2018-12-10,3532.6,3596.0,3348.7,3408.0,8117.59896377
2018-12-11,3410.4,3441.1,3294.5,3348.1,6930.72995226
2018-12-12,3346.1,3489.4,3323.6,3435.2,7207.41696323
2018-12-13,3433.1,3438.2,3217.7,3260.0,10728.85538832
2018-12-14,3260.0,3308.6,3134.0,3194.9,11506.50542436
2018-12-15,3192.9,3225.0,3120.0,3180.1,5225.27863093
2018-12-16,3180.1,3265.0,3159.0,3189.7,4399.04855695
2018-12-17,3193.2,3587.9,3184.0,3502.0,18018.62328495
2018-12-18,3502.0,3690.9,3433.9,3669.1,11501.31150205
2018-12-19,3668.6,3920.0,3645.6,3683.6,23356.66422718
2018-12-20,3682.0,4178.0,3651.0,4074.4,20996.45294119
2018-12-21,4074.5,4164.0,3769.2,3838.5,15900.35702165
2018-12-22,3840.1,4022.6,3788.3,3981.3,9624.59445505
2018-12-23,3979.8,4062.5,3910.0,3940.2,6894.63630803
2018-12-24,3945.7,4239.9,3941.6,4033.6,14103.31862132
2018-12-25,4033.7,4040.0,3671.5,3778.5,12279.85983176
2018-12-26,3779.3,3860.0,3680.2,3808.2,8727.45445703
2018-12-27,3809.3,3840.0,3565.9,3588.6,8081.04161431
2018-12-28,3590.0,4028.6,3575.0,3890.5,10860.54893516
2018-12-29,3890.1,3952.9,3645.0,3725.0,6014.6664683
2018-12-30,3726.2,3871.6,3681.0,3832.4,5718.87682792
2018-12-31,3829.9,3837.0,3621.6,3691.9,6237.34185922
